iter	F1:use_weights=false	Logloss
239	0.8807565789	0.1132133053
240	0.8808545604	0.1127415693
241	0.8822075783	0.1124403353
242	0.8843930636	0.112185009
243	0.8859504132	0.1118001149
244	0.8874172185	0.111503792
245	0.8854898718	0.1111686019
246	0.8887966805	0.1107936885
247	0.8873239437	0.110532145
248	0.8881524441	0.1101298012
249	0.8881524441	0.109929327
250	0.8874172185	0.1096793664
251	0.8885205139	0.1093053699
252	0.8899958489	0.1090210638
253	0.8911960133	0.108753821
254	0.8934221482	0.108154506
255	0.8930503537	0.1078660272
256	0.8930503537	0.1074360942
257	0.8923076923	0.1070711742
258	0.8930503537	0.1068823305
259	0.8934221482	0.1065438664
260	0.8937942524	0.1062468419
261	0.8934221482	0.1059825489
262	0.8934221482	0.1058079855
263	0.8941666667	0.1054255146
264	0.8945393914	0.1050863835
265	0.8956594324	0.1047915607
266	0.8960334029	0.1045784685
267	0.8975324132	0.1042955812
268	0.8971571906	0.1041426229
269	0.8979079498	0.1037457362
270	0.8986599665	0.1034352341
271	0.8979079498	0.1030833139
272	0.8979079498	0.1027075995
273	0.8982838008	0.1025504909
274	0.8971571906	0.1023035564
275	0.8982838008	0.1021400458
276	0.8997903564	0.1017399493
277	0.9009235936	0.101483208
278	0.9001677852	0.1012550072
279	0.8990364474	0.1009239948
280	0.8997903564	0.1006110175
281	0.8997903564	0.1004071129
282	0.9005455308	0.100158012
283	0.901301974	0.0999559168
284	0.9016806723	0.09967979563
285	0.901301974	0.09945417808
286	0.9020596889	0.09925254817
287	0.9020596889	0.0988487851
288	0.90625	0.09846413531
289	0.9070160609	0.09815976064
290	0.9066328686	0.09791264494
291	0.9054852321	0.09754932072
292	0.9063291139	0.09735343999
293	0.9051833123	0.09710501099
294	0.9036600757	0.09674854103
295	0.9036600757	0.09649833533
296	0.9051833123	0.09622853508
297	0.9067116927	0.09607009979
298	0.9063291139	0.09575728245
299	0.9078613694	0.09553788118
300	0.9082452431	0.09525061797
301	0.9093988146	0.09485468971
302	0.9086294416	0.09447641744
303	0.9093988146	0.09431937589
304	0.9101694915	0.09405564681
305	0.9093988146	0.09389434451
306	0.9097839898	0.09361026031
307	0.9109414758	0.09337531622
308	0.9121019108	0.09318355222
309	0.9117147708	0.09299676187
310	0.9113279593	0.0927275361
311	0.9121019108	0.09251427208
312	0.9124893798	0.09221988306
313	0.9132653061	0.09201598811
314	0.9140425532	0.09174901542
315	0.9148211244	0.09149942304
316	0.9148211244	0.09127008422
317	0.9159914712	0.09104390281
318	0.9159914712	0.09050901914
319	0.9159914712	0.09038464391
320	0.9163822526	0.09007149757
321	0.9171648164	0.08989615886
322	0.9175565997	0.08943707112
323	0.9175565997	0.08922081285
324	0.9167733675	0.08891225358
325	0.9179487179	0.08870412027
326	0.9183411714	0.08850473895
327	0.9179487179	0.0882874657
328	0.9195205479	0.08806350908
329	0.9207029576	0.08791742933
330	0.9207029576	0.08767284311
331	0.9214929215	0.08737067945
332	0.9235395189	0.08696536251
333	0.9238709677	0.08681442206
334	0.9238709677	0.08643432495
335	0.9246663797	0.08625903117
336	0.9250645995	0.0860671245
337	0.9230769231	0.0859275393
338	0.9226804124	0.08575536421
339	0.9222842422	0.0855734119
340	0.9238709677	0.08543729739
341	0.9246663797	0.08518552268
342	0.9246663797	0.08500466486
343	0.9259259259	0.08471703896
344	0.9251290878	0.08437094146
345	0.9251290878	0.08418346055
346	0.9254631624	0.08401037298
347	0.9246663797	0.08380256344
